timestamp,latency_ms,raw_detection,voted_command,vote_confidence,num_contours_found,candidates_found,detection_rate_pct
1778078843.9792,30.83,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.0355,36.99,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.0831,35.03,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.1429,44.55,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.1971,44.64,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.2374,28.57,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.2834,34.17,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.3241,25.74,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.3726,24.41,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.4308,32.42,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.4681,19.86,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.5277,29.14,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.5797,31.25,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.6335,35.24,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.6719,23.79,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.7348,36.33,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.7725,22.68,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.8287,30.35,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.8665,18.34,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078844.9467,47.96,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.0063,46.09,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.0713,50.11,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.1163,28.20,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.1520,27.57,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.2060,38.45,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.2423,23.38,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.2840,34.88,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.3265,28.36,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.3779,29.63,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.4392,40.44,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.4702,22.03,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.5340,35.47,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.5728,24.26,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.6281,29.77,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.6812,32.85,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.7463,47.84,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.7888,32.77,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.8324,29.69,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.8765,28.26,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.9221,23.47,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078845.9831,34.76,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.0324,34.07,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.0825,34.12,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.1441,45.41,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.1919,38.49,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.2296,26.88,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.2791,30.95,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.3286,30.41,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.3974,49.02,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.4554,48.64,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.4969,27.15,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
